"Date","Agglomeration type","Merchant category","Amount CHF","Number of transactions"
"2019-04-28","Commuting zone","Retail: Other goods",226124.2,3135
"2019-04-28","Commuting zone","Transport services",18329.5,563
"2019-04-28","Municipality: core","Accommodation",310347.6,1262
"2019-04-28","Municipality: core","Food and beverage services",332536.38,5927
"2019-04-28","Municipality: core","Other",70697.9,1257
"2019-04-28","Municipality: core","Retail: Food, beverage, tobacco",283159.9,16484
"2019-04-28","Municipality: core","Retail: Fuel stations",630137.65,14262
"2019-04-28","Municipality: core","Retail: Other goods",331814.63,3290
"2019-04-28","Municipality: core","Transport services",8972.35,595
"2019-04-28","Municipality: multiorientated","Accommodation",262605.4,873
"2019-04-28","Municipality: multiorientated","Food and beverage services",470410.18,4734
"2019-04-28","Municipality: multiorientated","Other",144181.75,2342
"2019-04-28","Municipality: multiorientated","Retail: Food, beverage, tobacco",138527.48,3812
"2019-04-28","Municipality: multiorientated","Retail: Fuel stations",863968.63,18343
"2019-04-28","Municipality: multiorientated","Retail: Other goods",186806.65,1704
"2019-04-28","Municipality: multiorientated","Transport services",4852.6,129
"2019-04-28","Municipality: rural","Accommodation",1163711.5,4786
"2019-04-28","Municipality: rural","Food and beverage services",794437.77,9138
"2019-04-28","Municipality: rural","Other",296338.19,3717
"2019-04-28","Municipality: rural","Retail: Food, beverage, tobacco",355854.63,10717
"2019-04-28","Municipality: rural","Retail: Fuel stations",1607353.43,31784
"2019-04-28","Municipality: rural","Retail: Other goods",518359.79,4561
"2019-04-28","Municipality: rural","Transport services",177847.8,2109
"2019-04-28","Principle core: city","Accommodation",3027169.95,13328
"2019-04-28","Principle core: city","Food and beverage services",5009148.37,121942
"2019-04-28","Principle core: city","Other",1760765.06,28836
"2019-04-28","Principle core: city","Retail: Food, beverage, tobacco",2332356.35,128370
"2019-04-28","Principle core: city","Retail: Fuel stations",2514222.07,67527
"2019-04-28","Principle core: city","Retail: Other goods",4340217.22,24921
"2019-04-28","Principle core: city","Transport services",357066.33,22665
"2019-04-28","Principle core: other","Accommodation",677252.21,3006
"2019-04-28","Principle core: other","Food and beverage services",1769350.59,42620
"2019-04-28","Principle core: other","Other",854255.78,12040
"2019-04-28","Principle core: other","Retail: Food, beverage, tobacco",811222.360000001,32841
"2019-04-28","Principle core: other","Retail: Fuel stations",2589166.82,65011
"2019-04-28","Principle core: other","Retail: Other goods",2398506.89,21802
"2019-04-28","Principle core: other","Transport services",358678.15,14652
"2019-04-28","Secondary core","Accommodation",219153.7,996
"2019-04-28","Secondary core","Food and beverage services",498501.1,9735
"2019-04-28","Secondary core","Other",276169.44,4303
"2019-04-28","Secondary core","Retail: Food, beverage, tobacco",257700.85,10996
"2019-04-28","Secondary core","Retail: Fuel stations",908117.73,22421
"2019-04-28","Secondary core","Retail: Other goods",272107.13,2579
"2019-04-28","Secondary core","Transport services",14516.05,808
"2019-04-29","9999","Food and beverage services",6424.8,601
"2019-04-29","9999","Retail: Food, beverage, tobacco",35.6,3
"2019-04-29","9999","Retail: Fuel stations",21697.99,533
"2019-04-29","9999","Retail: Other goods",1305.85,30
"2019-04-29","Commuting zone","Accommodation",294790.31,1556
"2019-04-29","Commuting zone","Food and beverage services",339330.1,8597
"2019-04-29","Commuting zone","Other",971339.31,5205
"2019-04-29","Commuting zone","Retail: Food, beverage, tobacco",3473030.75,75388
"2019-04-29","Commuting zone","Retail: Fuel stations",1706976.88,34896
"2019-04-29","Commuting zone","Retail: Other goods",2622211.81,34075
"2019-04-29","Commuting zone","Transport services",13927.31,506
"2019-04-29","Municipality: core","Accommodation",234679.99,1040
"2019-04-29","Municipality: core","Food and beverage services",189076.39,6458
"2019-04-29","Municipality: core","Other",426792.4,2648
"2019-04-29","Municipality: core","Retail: Food, beverage, tobacco",2510967.87,61316
"2019-04-29","Municipality: core","Retail: Fuel stations",665235.6,14162
"2019-04-29","Municipality: core","Retail: Other goods",2169443.99,24445
"2019-04-29","Municipality: core","Transport services",45324.51,718
"2019-04-29","Municipality: multiorientated","Accommodation",100862.88,614
"2019-04-29","Municipality: multiorientated","Food and beverage services",166758,3421
"2019-04-29","Municipality: multiorientated","Other",369967.9,2646
"2019-04-29","Municipality: multiorientated","Retail: Food, beverage, tobacco",1849016.54,36967
"2019-04-29","Municipality: multiorientated","Retail: Fuel stations",969779.73,19052
"2019-04-29","Municipality: multiorientated","Retail: Other goods",2008369.14,22968
"2019-04-29","Municipality: multiorientated","Transport services",4009.2,157
"2019-04-29","Municipality: rural","Accommodation",695180.92,2667
"2019-04-29","Municipality: rural","Food and beverage services",290668.87,6655
"2019-04-29","Municipality: rural","Other",629231.64,3902
"2019-04-29","Municipality: rural","Retail: Food, beverage, tobacco",3580261.62,76364
"2019-04-29","Municipality: rural","Retail: Fuel stations",1703903.75,31805
"2019-04-29","Municipality: rural","Retail: Other goods",2867871.03,33054
"2019-04-29","Municipality: rural","Transport services",197207,1470
"2019-04-29","Principle core: city","Accommodation",2485621.5,11316
"2019-04-29","Principle core: city","Food and beverage services",4767348.67,183390
"2019-04-29","Principle core: city","Other",5493959.09,38346
"2019-04-29","Principle core: city","Retail: Food, beverage, tobacco",16195227.17,602681
"2019-04-29","Principle core: city","Retail: Fuel stations",2569245.99,63812
"2019-04-29","Principle core: city","Retail: Other goods",24533160.09,214537
"2019-04-29","Principle core: city","Transport services",779144.079999999,39275
"2019-04-29","Principle core: other","Accommodation",627656.2,3647
"2019-04-29","Principle core: other","Food and beverage services",1664213,70622
"2019-04-29","Principle core: other","Other",3404937.62,19591
"2019-04-29","Principle core: other","Retail: Food, beverage, tobacco",10197323.97,254627
"2019-04-29","Principle core: other","Retail: Fuel stations",2725740.18,63527
"2019-04-29","Principle core: other","Retail: Other goods",10858501.17,112196
"2019-04-29","Principle core: other","Transport services",379054.52,18406
"2019-04-29","Secondary core","Accommodation",138067.81,953
"2019-04-29","Secondary core","Food and beverage services",397103.06,13349
"2019-04-29","Secondary core","Other",1016405.76,6083
"2019-04-29","Secondary core","Retail: Food, beverage, tobacco",3271977.55,76828
"2019-04-29","Secondary core","Retail: Fuel stations",962115.88,21225
"2019-04-29","Secondary core","Retail: Other goods",3896626.46,42023
"2019-04-29","Secondary core","Transport services",20038.85,1671
"2019-04-30","9999","Food and beverage services",6369.8,587
"2019-04-30","9999","Retail: Fuel stations",25502.03,609
"2019-04-30","9999","Retail: Other goods",1969.95,30
"2019-04-30","Commuting zone","Accommodation",318627.53,1962
"2019-04-30","Commuting zone","Food and beverage services",514140.72,10834
"2019-04-30","Commuting zone","Other",1229321.01,6305
"2019-04-30","Commuting zone","Retail: Food, beverage, tobacco",3892662.05,82299
"2019-04-30","Commuting zone","Retail: Fuel stations",1793106.74,37411
"2019-04-30","Commuting zone","Retail: Other goods",2872680.74,36681
"2019-04-30","Commuting zone","Transport services",26934.2,615
"2019-04-30","Municipality: core","Accommodation",257760.49,1278
"2019-04-30","Municipality: core","Food and beverage services",251702.43,7441
"2019-04-30","Municipality: core","Other",514972.5,3368
"2019-04-30","Municipality: core","Retail: Food, beverage, tobacco",2494630.44,61586
"2019-04-30","Municipality: core","Retail: Fuel stations",692628.91,15122
"2019-04-30","Municipality: core","Retail: Other goods",2410969.45,26166
"2019-04-30","Municipality: core","Transport services",42161.19,791
"2019-04-30","Municipality: multiorientated","Accommodation",138168.89,788
"2019-04-30","Municipality: multiorientated","Food and beverage services",228899.35,4220
"2019-04-30","Municipality: multiorientated","Other",457432.78,3193
"2019-04-30","Municipality: multiorientated","Retail: Food, beverage, tobacco",1959590.45,38023
"2019-04-30","Municipality: multiorientated","Retail: Fuel stations",992000.8,20046
"2019-04-30","Municipality: multiorientated","Retail: Other goods",2145332.11,24017
"2019-04-30","Municipality: multiorientated","Transport services",7967.02,183
"2019-04-30","Municipality: rural","Accommodation",613684.81,3094
"2019-04-30","Municipality: rural","Food and beverage services",380451.08,7741
"2019-04-30","Municipality: rural","Other",745378.59,4828
"2019-04-30","Municipality: rural","Retail: Food, beverage, tobacco",3676026.52,77221
"2019-04-30","Municipality: rural","Retail: Fuel stations",1755454.34,33647
"2019-04-30","Municipality: rural","Retail: Other goods",3099583.72,34339
"2019-04-30","Municipality: rural","Transport services",227954.05,1831
"2019-04-30","Principle core: city","Accommodation",2735149.86,13356
"2019-04-30","Principle core: city","Food and beverage services",6495620.08000001,219121
"2019-04-30","Principle core: city","Other",6450137.84,46145
"2019-04-30","Principle core: city","Retail: Food, beverage, tobacco",17300776.84,627455
"2019-04-30","Principle core: city","Retail: Fuel stations",2712153.39,69264
"2019-04-30","Principle core: city","Retail: Other goods",26278320.13,229579
"2019-04-30","Principle core: city","Transport services",779738.69,43444
"2019-04-30","Principle core: other","Accommodation",740646.890000001,4309
"2019-04-30","Principle core: other","Food and beverage services",2140320.67,77817
"2019-04-30","Principle core: other","Other",3683899.13,22198
"2019-04-30","Principle core: other","Retail: Food, beverage, tobacco",10899256.96,263748
"2019-04-30","Principle core: other","Retail: Fuel stations",2875847.58,68904
"2019-04-30","Principle core: other","Retail: Other goods",10915170.35,111715
"2019-04-30","Principle core: other","Transport services",393809.35,19296
"2019-04-30","Secondary core","Accommodation",173756.85,1264
"2019-04-30","Secondary core","Food and beverage services",532858.01,15964
"2019-04-30","Secondary core","Other",1143391.69,7165
"2019-04-30","Secondary core","Retail: Food, beverage, tobacco",3668613.44,83629
"2019-04-30","Secondary core","Retail: Fuel stations",1027295.53,23041
"2019-04-30","Secondary core","Retail: Other goods",4042812.06,43654
"2019-04-30","Secondary core","Transport services",20318.35,1815
"2019-05-01","9999","Food and beverage services",5339.2,316
"2019-05-01","9999","Retail: Food, beverage, tobacco",316.2,16
"2019-05-01","9999","Retail: Fuel stations",28725.08,821
"2019-05-01","9999","Retail: Other goods",1462.15,38
"2019-05-01","Commuting zone","Accommodation",400456.61,2881
"2019-05-01","Commuting zone","Food and beverage services",749732.32,12652
"2019-05-01","Commuting zone","Other",724722,5148
"2019-05-01","Commuting zone","Retail: Food, beverage, tobacco",2011664.98,45950
"2019-05-01","Commuting zone","Retail: Fuel stations",1881313.05,43066
"2019-05-01","Commuting zone","Retail: Other goods",2159939.89,24918
"2019-05-01","Commuting zone","Transport services",50231.5,1320
"2019-05-01","Municipality: core","Accommodation",266471.91,1941
"2019-05-01","Municipality: core","Food and beverage services",322575.74,8414
"2019-05-01","Municipality: core","Other",579126.73,3960
"2019-05-01","Municipality: core","Retail: Food, beverage, tobacco",2234046.17,58598
"2019-05-01","Municipality: core","Retail: Fuel stations",760343.06,17165
"2019-05-01","Municipality: core","Retail: Other goods",2731109.24,27726
"2019-05-01","Municipality: core","Transport services",36893.94,1115
"2019-05-01","Municipality: multiorientated","Accommodation",158314.58,1116
"2019-05-01","Municipality: multiorientated","Food and beverage services",345839.93,6271
"2019-05-01","Municipality: multiorientated","Other",383363.88,3135
"2019-05-01","Municipality: multiorientated","Retail: Food, beverage, tobacco",1730977.35,33023
"2019-05-01","Municipality: multiorientated","Retail: Fuel stations",1100187.25,23402
"2019-05-01","Municipality: multiorientated","Retail: Other goods",2805391.17,26573
"2019-05-01","Municipality: multiorientated","Transport services",22389.1,592
"2019-05-01","Municipality: rural","Accommodation",819584.23,4882
"2019-05-01","Municipality: rural","Food and beverage services",584755.5,9927
"2019-05-01","Municipality: rural","Other",790659.41,6529
"2019-05-01","Municipality: rural","Retail: Food, beverage, tobacco",3280239.94,70928
"2019-05-01","Municipality: rural","Retail: Fuel stations",1942079.2,39219
"2019-05-01","Municipality: rural","Retail: Other goods",3462994.33,36299
"2019-05-01","Municipality: rural","Transport services",282025.25,3609
"2019-05-01","Principle core: city","Accommodation",2771656.63,13641
"2019-05-01","Principle core: city","Food and beverage services",6183493.31000001,174115
"2019-05-01","Principle core: city","Other",4837888.29,37618
"2019-05-01","Principle core: city","Retail: Food, beverage, tobacco",10704247.85,406249
"2019-05-01","Principle core: city","Retail: Fuel stations",2869635.44,78900
"2019-05-01","Principle core: city","Retail: Other goods",22247338.61,185694
